Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Maddu Cabral,@madducabral,São Paulo,3600,5,4,1,0,63218,2313,56,94340,R$1.56,0.09%,R$64.29,R$0.06,3.66%,0.00%,0,0,
Marcela Chauh,@marclachauh,São Paulo,3500,6,5,1,0,253545,2005,67,207167,R$1.75,0.03%,R$52.24,R$0.01,0.79%,0.00%,0,0,
Patricia Bonaldi,@patriciabonaldi,São Paulo,5500,3,3,0,0,9247,321,24,9304,R$17.13,0.26%,R$229.17,R$0.59,3.47%,0.00%,0,0,
