Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Tálita,@cozinhandocomtalita,Rio de Janeiro,6000,4,3,1,0,28648,1178,0,43838,R$5.09,0.00%,R$0.00,R$0.21,4.11%,0.00%,0,0,
Murilo Fernandes,@murifernan,Londrina,5600,4,3,1,0,119813,5518,0,160902,R$1.01,0.00%,R$0.00,R$0.05,4.61%,0.00%,0,0,
Raphael Camposo,@raphaelcamposo,Manaus,6300,4,3,1,0,24239,793,0,35864,R$7.94,0.00%,R$0.00,R$0.26,3.27%,0.00%,0,0,
Sabryna Bueno,@sabryna.bueno,Goiânia,11200,4,3,1,0,1154873,73670,0,1887233,R$0.15,0.00%,R$0.00,R$0.01,6.38%,0.00%,0,0,
