Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Reels,eusoutwins,,28000,0,0,1,0,90336,3112,0,98800,R$9.00,0.00%,R$0.00,R$0.31,3.44%,0.00%,0,0,
Story 1,eusoutwins,,3000,0,1,0,0,2517,191,0,2511,R$15.71,0.00%,R$0.00,R$1.19,7.59%,0.00%,0,0,
Story 2,eusoutwins,,3000,0,1,0,0,2152,45,0,2152,R$66.67,0.00%,R$0.00,R$1.39,2.09%,0.00%,0,0,
Story 3,eusoutwins,,3000,0,1,0,0,2021,46,0,2019,R$65.22,0.00%,R$0.00,R$1.48,2.28%,0.00%,0,0,
Story 4,eusoutwins,,3000,0,1,0,0,1952,68,0,1948,R$44.12,0.00%,R$0.00,R$1.54,3.48%,0.00%,0,0,
