Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Luan,luanpoffo,São Paulo,13500,9,8,1,0,7655018,3209,32,9930142,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,Luan Poffo.jpg
Patrícia Dos Reis,pathydosreis,São Paulo,27000,9,8,1,0,382350,752,4,410109,R$0.00,0.00%,R$0.00,R$0.00,0.20%,0.00%,0,0,
Rafaela,rafaela,São Paulo,9000,9,8,1,0,3011068,1565,58,3506813,R$0.00,0.00%,R$0.00,R$0.00,0.05%,0.00%,0,0,
Atila Tavares,atilartavares,São Paulo,10000,5,4,1,0,50680,576,15,56806,R$0.00,0.00%,R$0.00,R$0.00,1.14%,0.00%,0,0,
Carolina Tenório,catenorio,São Paulo,11000,9,8,1,0,1514352,885,41,762077,R$0.00,0.00%,R$0.00,R$0.00,0.06%,0.00%,0,0,
Diogo Almeida,diogo.almeida,São Paulo,26500,9,8,1,0,71979,1961,6,49996,R$0.00,0.00%,R$0.00,R$0.00,2.72%,0.00%,0,0,
Gabriela Hebling,gabhebling,Rio de Janeiro,14000,9,3,1,0,2383969,983,14,1614390,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
Marcello Melo Jr,marcellomelojr,Rio de Janeiro,39000,10,8,2,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
