Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Antônio Maiolica,chefantoniomaiolica,São Paulo,28500,5,3,1,1,487622,41754,1213,686221,R$ 0.05,0.25%,R$ 0.04,R$ 0.06,8.56%,0.00%,0,0,
Gabriel Bruno,gabrielbruno,São Paulo,23625,1,0,0,0,850226,7745,7931,108752,R$ 0.03,0.93%,R$ 0.34,R$ 0.03,0.91%,0.00%,0,0,
Giorgio Barone,barone,São Paulo,96250,6,3,1,1,4455840,295488,43444,4436769,R$ 0.02,0.97%,R$ 0.45,R$ 0.02,6.63%,0.00%,0,0,
Livia Jacob,livjcb,São Paulo,20400,3,3,0,0,199183,1550,2429,199183,R$ 0.10,1.22%,R$ 0.12,R$ 0.10,0.78%,0.00%,0,0,
Maddu Cabral,madducabrall,São Paulo,5500,4,3,1,0,125874,3505,2119,162556,R$ 0.04,1.68%,R$ 0.39,R$ 0.04,2.78%,0.00%,0,0,
Pedro Mattos,biricuticus_,São Paulo,0,0,0,0,0,0,0,0,0,R$ 0.00,0.00%,R$ 0.00,R$ 0.00,0.00%,0.00%,0,0,
Gianluca Lanzetta,gianzetta,São Paulo,0,5,3,1,1,30031,2729,324,38526,R$ 0.00,1.08%,R$ 0.00,R$ 0.00,9.09%,0.00%,0,0,
Mariane Xavier,mariane.xs,São Paulo,0,5,3,1,1,25632,1156,215,30221,R$ 0.00,0.84%,R$ 0.00,R$ 0.00,4.51%,0.00%,0,0,
