Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Louise Estaniecki,louestaniecki,São Paulo,1714,4,3,1,0,48748,1166,0,74299,R$0.03,0.00%,R$0.00,R$0.04,2.39%,0.00%,0,0,
Thailyse Pivatto,thaylisepivato,São Paulo,1714,4,3,1,0,38989,1221,20,49448,R$0.04,0.05%,R$85.70,R$0.04,3.13%,0.00%,0,0,
Giovanna Ferrarezi,giovannaferrarezi,São Paulo,1714,4,3,1,0,136757,14020,0,236755,R$0.01,0.00%,R$0.00,R$0.01,10.25%,0.00%,0,0,
Gabi Melim,gabimelim,São Paulo,1714,3,2,1,0,157504,15581,8,107504,R$0.01,0.01%,R$214.25,R$0.01,9.89%,0.00%,0,0,
Renan Keller,renankeller,São Paulo,1714,6,5,1,0,1361466,104879,,1967620,R$0.00,0.00%,R$0.00,R$0.00,7.70%,0.00%,0,0,
Gabriel Peixinho,peixinh0,São Paulo,1714,4,3,1,0,155979,9520,52,218022,R$0.01,0.03%,R$32.96,R$0.01,6.10%,0.00%,0,0,
Karine Carrijo,karinecarrijo_,São Paulo,1714,3,2,1,0,400465,8354,232,607438,R$0.00,0.06%,R$7.39,R$0.00,2.09%,0.00%,0,0,
Lu Ferreira,lutsferreira,São Paulo,13455,1,0,1,0,53929,2924,0,109149,R$0.24,0.00%,R$0.00,R$0.25,5.42%,0.00%,0,0,
