Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Antônio Maiolica,chefantoniomaiolica,São Paulo,28500,5,3,1,1,687643,75809,1813,886229,R$ 0.04,0.26%,R$ 0.06,R$ 0.04,11.02%,0.00%,0,0,
Gabriel Bruno,gabrielbruno,São Paulo,23625,7,6,1,0,918244,8364,8565,178120,R$ 0.03,0.93%,R$ 0.36,R$ 0.03,0.91%,0.00%,0,0,
Giorgio Barone,barone,São Paulo,96250,6,3,1,1,4812307,352541,47921,4791710,R$ 0.02,1.00%,R$ 0.50,R$ 0.02,7.33%,0.00%,0,0,
Livia Jacob,livjcb,São Paulo,20400,4,3,1,0,524119,16594,2623,548433,R$ 0.04,0.50%,R$ 0.13,R$ 0.04,3.17%,0.00%,0,0,
Maddu Cabral,madducabrall,São Paulo,5500,5,4,1,0,135943,3785,2288,175560,R$ 0.04,1.68%,R$ 0.42,R$ 0.04,2.78%,0.00%,0,0,
Pedro Mattos,biricuticus_,São Paulo,40725,4,3,1,0,252212,20035,4009,274256,R$ 0.15,1.59%,R$ 0.10,R$ 0.16,7.94%,0.00%,0,0,
Gianluca Lanzetta,gianzetta,São Paulo,0,5,3,1,1,63848,6871,482,59779,R$ 0.00,0.75%,R$ 0.00,R$ 0.00,10.76%,0.00%,0,0,
Mariane Xavier,mariane.xs,São Paulo,0,5,3,1,0,25717,1178,305,27408,R$ 0.00,1.19%,R$ 0.00,R$ 0.00,4.58%,0.00%,0,0,
Gaybol,gaybol,São Paulo,0,6,5,1,0,10079,604,11,11240,R$ 0.00,0.11%,R$ 0.00,R$ 0.00,5.99%,0.00%,0,0,
