Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Antonella Bicalho,omundovistodomeujeito,Belo Horizonte,16000,0,0,0,1,0,0,0,0,R$ 0.00,0.00%,R$ 0.00,R$ 0.00,0.00%,0.00%,0,0,
Eugênio,oeugeniomelo,São Paulo,16000,9,7,1,1,22744,1195,114,26719,R$ 0.67,0.50%,R$ 0.01,R$ 0.70,5.25%,0.00%,0,0,
Maria Bomani,eumaria,Rio de Janeiro,16000,4,2,1,1,49307,1674,313,60073,R$ 0.31,0.63%,R$ 0.02,R$ 0.32,3.40%,0.00%,0,0,
