Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Éric borges ,eericborges ,São Paulo ,2500,8,7,1,0,23510,1020,71,21271,R$2.45,0.00%,R$35.21,R$0.10,9.69%,0.00%,0,0,
Serginho ,realserginho,São Paulo,4000,11,10,1,0,13705,444,49,6775,R$9.00,0.00%,R$81.63,R$0.29,0.09%,0.00%,0,0,
Paulo Gomiz,paulogomiz ,São Paulo,2500,11,10,1,0,44050,1645,62,20606,R$1.51,0.00%,R$40.32,R$0.06,3.04%,0.00%,0,0,
Tatha falcão ,thatha_falcão,São Paulo,1500,10,9,1,0,50714,5975,145,30400,R$0.25,0.00%,R$10.34,R$0.02,4.76%,0.00%,0,0,
Leo oliveira ,yesdadx,São Paulo,500,10,9,1,0,10171,887,48,9855,R$0.56,0.00%,R$10.41,R$0.05,5.28%,0.00%,0,0,
