Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
 Dani Seta,daniseta,Rio de Janeiro,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
 Kai,kaiyzu,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gabi Medina ,gabirmedina,São Paulo,862,1,1,0,0,14815,253,,14815,R$0.06,0.00%,R$0.00,R$0.06,1.73%,0.00%,0,0,
 Gabriela verde limao,gabiverdelimao,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
 Gabrielle Stacenco,gabistaceno,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
 Isabella Santis,isahsantis,São Paulo,862,1,1,0,0,2379,24,0,2379,R$0.35,0.00%,R$0.00,R$0.35,1.01%,0.00%,0,0,
 Luana Nogueira,luanafnogueira,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
 Marcella Corrêa,marcellacorrea,São Paulo,862,1,1,0,0,3641,55,0,3641,R$0.23,0.00%,R$0.00,R$0.23,1.53%,0.00%,0,0,
 Mario Henrique,mariohenrique,São Paulo,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
 Marina Sampaio ,mamsampaio,São Paulo,862,1,1,0,0,769,4,0,769,R$1.08,0.00%,R$0.00,R$1.08,0.51%,0.00%,0,0,
 Matheus Pasquarelli,matheuspasquarelli,São Paulo,862,1,1,0,0,3585,17,0,3585,R$0.23,0.00%,R$0.00,R$0.23,0.47%,0.00%,0,0,
 Iago lesser,iagolesser,São Paulo,862,1,1,0,0,213,1,0,213,R$3.90,0.00%,R$0.00,R$3.92,0.11%,0.00%,0,0,
 Éric borges ,ericborges,São Paulo,862,1,1,0,0,6220,1,0,6220,R$0.13,0.00%,R$0.00,R$0.13,1.07%,0.00%,0,0,
 Paola Cassaño,paolacassano,São Paulo,862,1,1,0,0,5374,103,0,5374,R$0.15,0.00%,R$0.00,R$0.16,1.93%,0.00%,0,0,
 Paola Santerini,paolasanterini,Rio de Janeiro,862,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Rafa Porto ,rafaelcporto,São Paulo,862,1,1,0,0,305,1,0,305,R$2.73,0.00%,R$0.00,R$2.73,0.03%,0.00%,0,0,
Malu Ávila ,maluavila,São Paulo,862,1,1,0,0,160,1,0,160,R$5.18,0.00%,R$0.00,R$5.21,0.20%,0.00%,0,0,
Laís Boa Sorte,laisboasorte,Rio de Janeiro,862,1,1,0,0,42,1,0,42,R$19.40,0.00%,R$0.00,R$19.86,0.02%,0.00%,0,0,
Vinicius Mello ,vinicusmelo,São Paulo,862,1,1,0,0,8930,184,0,8930,R$0.09,0.00%,R$0.00,R$0.09,2.06%,0.00%,0,0,
