Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok
Story 1,viihtube,São Paulo,20000,1,1,0,0,1378454,4137,3152,1378454,R$ 0.01,0.23%,R$ 0.16,R$ 0.01,0.30%,0.00%,0,0
Story 2,viihtube,São Paulo,20000,1,1,0,0,1405869,4032,834,1405869,R$ 0.01,0.06%,R$ 0.04,R$ 0.01,0.29%,0.00%,0,0
Story 3,viihtube,São Paulo,20000,1,1,0,0,1354016,3745,2842,1354016,R$ 0.01,0.21%,R$ 0.14,R$ 0.01,0.28%,0.00%,0,0
Story 4,viihtube,São Paulo,20000,1,1,0,0,1333389,3030,4111,1333389,R$ 0.01,0.31%,R$ 0.21,R$ 0.01,0.23%,0.00%,0,0
Story 5,viihtube,São Paulo,20000,1,1,0,0,1455983,4176,4020,1455983,R$ 0.01,0.28%,R$ 0.20,R$ 0.01,0.29%,0.00%,0,0
Reels,viihtube,São Paulo,20000,1,0,1,0,2934149,58620,0,3996045,R$ 0.01,0.00%,R$ 0.00,R$ 0.01,2.00%,0.00%,0,0
