Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Louise,,São Paulo,2500,4,4,0,0,189312,358,2452,189312,R$ 0.01,1.30%,R$ 0.98,R$ 0.01,0.19%,0.00%,0,0,
Ju Trevisol,,São Paulo,2500,3,3,0,0,33331,4100,374,33331,R$ 0.07,1.12%,R$ 0.15,R$ 0.08,12.30%,0.00%,0,0,
Gio Serrano,,São Paulo,2500,5,5,0,0,41707,87,500,41707,R$ 0.06,1.20%,R$ 0.20,R$ 0.06,0.21%,0.00%,0,0,
Rafa,,São Paulo,2500,0,0,0,0,0,0,0,0,R$ 0.00,0.00%,R$ 0.00,R$ 0.00,0.00%,0.00%,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,  ,,,,,,,,,,,,,,,
