Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Luan,luanpoffo,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,Luan Poffo.jpg
Patrícia Dos Reis,pathydosreis,Rio de Janeiro,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Rafaela,rafaela,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Atila Tavares,atilartavares,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Carolina Tenório,catenorio,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Diogo Almeida,diogo.almeida,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Gabriela Hebling,gabhebling,São Paulo,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
Marcello Melo Jr,marcellomelojr,Rio de Janeiro,0,0,0,0,0,0,0,0,0,R$0.00,0.00%,R$0.00,R$0.00,0.00%,0.00%,0,0,
