Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Lucas Chinarelli,eraumavezpapai,São Paulo,4036.5,1,0,1,0,91112,10462,0,14162,R$0.04,0.00%,R$0.00,R$0.04,11.48%,0.00%,0,0,
Tadeu França,otadeufranca,São Paulo,16146,1,0,1,0,213149,7016,0,246649,R$0.07,0.00%,R$0.00,R$0.08,3.29%,0.00%,0,0,
Sérgio Carolino,sergiocarolino,São Paulo,10091.25,1,0,1,0,37041,6210,0,60021,R$0.23,0.00%,R$0.00,R$0.27,16.77%,0.00%,0,0,
Gabriel Frazão,frazaocozinha,São Paulo,4709.25,1,0,1,0,90238,4298,0,95347,R$0.05,0.00%,R$0.00,R$0.05,4.76%,0.00%,0,0,
Felipe Andreolli,andreollifelipe,São Paulo,51129,1,0,1,0,20724,756,0,27281,R$2.38,0.00%,R$0.00,R$2.47,3.65%,0.00%,0,0,
Augusto Figueiredo,augustodochef,São Paulo,3363.75,1,0,1,0,157632,1983,0,188014,R$0.02,0.00%,R$0.00,R$0.02,1.26%,0.00%,0,0,
