Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Qual Rolê | Uberlândia,qualroleudi,Uberlândia,6600,9,8,1,0,97341,1439,767,32447,R$0.07,0.79%,R$0.12,R$0.21,1.47%,0.00%,0,0,
Janelas de Ouro Preto,janelasdeouropreto,Ouro Preto,4800,9,8,1,0,56565,1044,234,59364,R$0.08,0.41%,R$0.05,R$0.00,1.84%,0.00%,0,0,
Helo Teixeira,heloteixeira,Arraial do Cabo,4000,9,8,1,0,72420,3535,678,72420,R$0.05,0.94%,R$0.17,R$0.01,4.90%,0.00%,0,0,
Julia Zaneti,juliazaneti,Ribeirão,3200,9,8,1,0,8026,356,66,8026,R$0.38,0.82%,R$0.02,R$0.15,4.40%,0.00%,0,0,
Dicas São Sebastião,saosebastiao.sp,São Sebastião,1500,9,8,1,0,2632,45,27,2632,R$0.56,1.03%,R$0.02,R$0.17,1.70%,0.00%,0,0,
Cola em Sampa,colaemsampa,São Paulo,4000,9,8,1,0,16686,288,270,16686,R$0.24,1.62%,R$0.07,R$0.14,1.72%,0.00%,0,0,
Melissa Mel Maia,melissamelmaia,São Paulo,109999,5,3,1,1,7260182,73975,12095,7404754,R$0.07,0.12%,R$1.70,R$0.08,2.06%,0.00%,0,0,
Luan,luanpoffo,São Paulo,13500,9,8,1,0,7655018,3209,0,9930142,R$0.00,0.00%,R$0.00,R$0.00,0.04%,0.00%,0,0,
Patrícia Dos Reis,pathydosreis,São Paulo,27000,9,8,1,0,382350,752,0,410109,R$0.07,0.00%,R$0.00,R$0.07,0.20%,0.00%,0,0,
Rafaela,rafaela,São Paulo,9000,9,8,1,0,3011068,1565,0,3506813,R$0.00,0.00%,R$0.00,R$0.00,0.05%,0.00%,0,0,
