Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Maddu Cabral,@madducabral,São Paulo,2450,1,0,1,0,26381,1396,0,27643,R$0.09,0.00%,R$0.00,R$0.09,5.29%,0.00%,0,0,
Marcela Chauh,@marclachauh,São Paulo,2520,1,0,1,0,93412,1059,0,95487,R$0.03,0.00%,R$0.00,R$0.03,1.13%,0.00%,0,0,
