Influencer,Username,Cidade,Investimento,Posts,Stories,Feed,Tiktok,Impressoes,Interacoes,Cliques,Video Views,CPE,CTR,CPC,CPV,Engajamento,Engajamento Tiktok,Cliques Tiktok,Impressoes Tiktok,Url Foto Perfil
Antônio Maiolica,chefantoniomaiolica,São Paulo,28500,5,3,1,1,687643,61752,1813,886229,R$ 0.04,0.26%,R$ 0.06,R$ 0.04,8.98%,0.00%,0,0,
Gabriel Bruno,gabrielbruno,São Paulo,23625,1,0,0,0,918244,8364,8565,117452,R$ 0.03,0.93%,R$ 0.36,R$ 0.03,0.91%,0.00%,0,0,
Giorgio Barone,barone,São Paulo,96250,6,3,1,1,4812307,319127,46919,4791710,R$ 0.02,0.97%,R$ 0.49,R$ 0.02,6.63%,0.00%,0,0,
Livia Jacob,livjcb,São Paulo,20400,3,3,0,0,215117,1674,2623,215117,R$ 0.09,1.22%,R$ 0.13,R$ 0.09,0.78%,0.00%,0,0,
Maddu Cabral,madducabrall,São Paulo,5500,4,3,1,0,135943,3785,2288,175560,R$ 0.04,1.68%,R$ 0.42,R$ 0.04,2.78%,0.00%,0,0,
Pedro Mattos,biricuticus_,São Paulo,0,0,0,0,0,252212,20035,4009,274256,R$ 0.00,1.59%,R$ 0.00,R$ 0.00,7.94%,0.00%,0,0,
Gianluca Lanzetta,gianzetta,São Paulo,0,5,3,1,1,32433,2947,349,41608,R$ 0.00,1.08%,R$ 0.00,R$ 0.00,9.09%,0.00%,0,0,
Mariane Xavier,mariane.xs,São Paulo,0,5,3,1,1,25632,1156,215,30221,R$ 0.00,0.84%,R$ 0.00,R$ 0.00,4.51%,0.00%,0,0,
